old_code,new_code
112FWF3B0B,112FWFTON10A
113FWF2G3F,113FWFEXE07
112FWF3G3A,112FWFBFR15A
122FWFDW406,122FWF406
112FWF3F0O,112FWFAVN10A
122FWFDW628,122FWF628
122FWFDW234,122FWF234
122FWFDW716,122FWF716
123FWFRW129,123FWF129
122FWFDW312,122FWF312
123FWFRW359,123FWF359
122FWFDW573,122FWF573
122FWFDW720,122FWF720
122FWFDW586,122FWF586
123FWFRW121,123FWF121
123FWFRW177,123FWF177
122FWFDW684,122FWF684
122FWFDW246,122FWF246
123FWFRW148,123FWF148
123FWFRS474,123FWF474
123FWFRW463,123FWF463
112FWF3D0D,112FWFBRU30A
112FWF3D0C,112FWFBRU30B
101WATCB10,101WATLC10
122FWFDW346,122FWF346
122FWFDW250,122FWF250
123FWFRW306,123FWF306
123FWFRW603,123FWF603
122FWFDW620,122FWF620
122FWFDW652,122FWF652
