timestep|name|longitude|latitude|accumulated_precipitation_1_minute_total|accumulated_precipitation_1_minute_total_qc|air_pressure_near_surface_1_minute_mean|air_pressure_near_surface_1_minute_mean_qc|air_pressure_near_surface_mean_sea_level_1_minute_mean|air_pressure_near_surface_mean_sea_level_1_minute_mean_qc|air_temperature_near_surface_1_minute_mean|air_temperature_near_surface_1_minute_mean_qc|air_temperature_near_surface_secondary_1_minute_mean|air_temperature_near_surface_secondary_1_minute_mean_qc|air_temperature_near_surface_sensor2_1_minute_mean|air_temperature_near_surface_sensor2_1_minute_mean_qc|cloud_base_height_layer1_1_minute_30_minute_rolling_min|cloud_base_height_layer1_1_minute_30_minute_rolling_min_qc|cloud_base_height_layer2_1_minute_30_minute_rolling_min|cloud_base_height_layer2_1_minute_30_minute_rolling_min_qc|cloud_base_height_layer3_1_minute_30_minute_rolling_min|cloud_base_height_layer3_1_minute_30_minute_rolling_min_qc|cloud_cover_layer1_1_minute_30_minute_weighted_mean|cloud_cover_layer1_1_minute_30_minute_weighted_mean_qc|cloud_cover_layer2_1_minute_30_minute_weighted_mean|cloud_cover_layer2_1_minute_30_minute_weighted_mean_qc|cloud_cover_layer3_1_minute_30_minute_weighted_mean|cloud_cover_layer3_1_minute_30_minute_weighted_mean_qc|cloud_cover_total_1_minute_30_minute_weighted_mean|cloud_cover_total_1_minute_30_minute_weighted_mean_qc|dew_point_temperature_1_minute_mean|dew_point_temperature_1_minute_mean_qc|direct_solar_irradiance_1_minute_60_minute_total|direct_solar_irradiance_1_minute_60_minute_total_qc|direct_solar_irradiance_1_minute_binary|direct_solar_irradiance_1_minute_binary_qc|direct_solar_irradiance_1_minute_mean|direct_solar_irradiance_1_minute_mean_qc|direct_solar_irradiance_secondary_1_minute_mean|direct_solar_irradiance_secondary_1_minute_mean_qc|global_radiation_1_minute_mean|global_radiation_1_minute_mean_qc|land_surface_temperature_concrete_1_minute_mean|land_surface_temperature_concrete_1_minute_mean_qc|land_surface_temperature_grass_1_minute_mean|land_surface_temperature_grass_1_minute_mean_qc|meteorological_optical_range_horizontal_1_minute_mean|meteorological_optical_range_horizontal_1_minute_mean_qc|precipitation_intensity_1_minute_rolling_algorithm|precipitation_intensity_1_minute_rolling_algorithm_qc|present_weather_1_minute_10_minute_weighted_mean|present_weather_1_minute_10_minute_weighted_mean_qc|relative_humidity_near_surface_1_minute_mean|relative_humidity_near_surface_1_minute_mean_qc|snow_depth_1_minute_mean|snow_depth_1_minute_mean_qc|soil_temperature_100cm_1_minute_mean|soil_temperature_100cm_1_minute_mean_qc|soil_temperature_10cm_1_minute_mean|soil_temperature_10cm_1_minute_mean_qc|soil_temperature_30cm_1_minute_mean|soil_temperature_30cm_1_minute_mean_qc|wind_direction_near_surface_1_minute_mean|wind_direction_near_surface_1_minute_mean_qc|wind_speed_near_surface_1_minute_mean|wind_speed_near_surface_1_minute_mean_qc
2026-07-01T17:00:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.35|{"good": []}|||17.14791128|{"good": []}|||||1900.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|2.0|{"good": []}|1.0|{"good": []}|8.0|{"good": []}|8.0|{"good": []}|||409.2458324|{"good": []}|||266.8161744|{"good": []}|||0.0|{"good": []}|24.54274225|{"good": []}|20.85485495|{"good": []}|53362.0|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|74.1225|{"good": []}|||15.61552033|{"good": []}|19.73305224|{"good": []}|15.89396871|{"good": []}|204.6371101|{"good": []}|16.93829167|{"good": []}
2026-07-01T17:01:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.335|{"good": []}|||16.94832443|{"good": []}|||||1900.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|2.0|{"good": []}|1.0|{"good": []}|7.0|{"good": []}|8.0|{"good": []}|||410.0764929|{"good": []}|||273.6138098|{"good": []}|||0.0|{"good": []}|24.58802187|{"good": []}|20.82389106|{"good": []}|53397.5|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|72.465|{"good": []}|||15.61532044|{"good": []}|19.73340496|{"good": []}|15.89482686|{"good": []}|214.7527365|{"good": []}|18.38216667|{"good": []}
2026-07-01T17:02:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.345|{"good": []}|||16.88003249|{"good": []}|||||1900.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|1.0|{"good": []}|2.0|{"good": []}|7.0|{"good": []}|8.0|{"good": []}|||411.5625419|{"good": []}|||316.1958007|{"good": []}|||0.0|{"good": []}|24.44926731|{"good": []}|20.78668044|{"good": []}|61036.5|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|72.735|{"good": []}|||15.61531794|{"good": []}|19.73471827|{"good": []}|15.89537979|{"good": []}|222.0902828|{"good": []}|16.002875|{"good": []}
2026-07-01T17:03:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.305|{"good": []}|||16.95199948|{"good": []}|||||2000.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|1.0|{"good": []}|2.0|{"good": []}|7.0|{"good": []}|8.0|{"good": []}|||413.8345678|{"good": []}|||361.7539917|{"good": []}|||0.0|{"good": []}|24.67001638|{"good": []}|21.0892309|{"good": []}|55366.0|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|73.215|{"good": []}|||15.61551783|{"good": []}|19.73552126|{"good": []}|15.89623795|{"good": []}|217.4940921|{"good": []}|14.93329167|{"good": []}
2026-07-01T17:04:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.265|{"good": []}|||17.25195937|{"good": []}|||||2000.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|1.0|{"good": []}|2.0|{"good": []}|7.0|{"good": []}|8.0|{"good": []}|||416.4727244|{"good": []}|||381.9821906|{"good": []}|||0.0|{"good": []}|25.09182415|{"good": []}|21.53346546|{"good": []}|56384.0|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|73.6475|{"good": []}|||15.61536792|{"good": []}|19.73567135|{"good": []}|15.89674084|{"good": []}|215.4957736|{"good": []}|13.90154167|{"good": []}
2026-07-01T17:05:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.235|{"good": []}|||17.18230584|{"good": []}|||||2000.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|1.0|{"good": []}|2.0|{"good": []}|7.0|{"good": []}|8.0|{"good": []}|||419.7591498|{"good": []}|||420.3284717|{"good": []}|||1.0|{"good": []}|25.46080195|{"good": []}|22.12447191|{"good": []}|53737.0|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|72.67|{"good": []}|||15.61536542|{"good": []}|19.73703469|{"good": []}|15.89770157|{"good": []}|219.0032797|{"good": []}|15.552375|{"good": []}
2026-07-01T17:06:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.15|{"good": []}|||17.18331516|{"good": []}|||||2000.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|1.0|{"good": []}|2.0|{"good": []}|7.0|{"good": []}|8.0|{"good": []}|||421.3544526|{"good": []}|||325.4931297|{"good": []}|||0.0|{"good": []}|25.40479143|{"good": []}|22.06339834|{"good": []}|49404.0|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|73.305|{"good": []}|||15.6152155|{"good": []}|19.73683457|{"good": []}|15.89860978|{"good": []}|219.931823|{"good": []}|14.92841667|{"good": []}
2026-07-01T17:07:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.15|{"good": []}|||17.15476171|{"good": []}|||||2000.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|1.0|{"good": []}|2.0|{"good": []}|7.0|{"good": []}|8.0|{"good": []}|||421.6860882|{"good": []}|||273.0983571|{"good": []}|||0.0|{"good": []}|25.21501829|{"good": []}|21.72388952|{"good": []}|49247.0|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|73.1825|{"good": []}|||15.61542039|{"good": []}|19.73829797|{"good": []}|15.89906262|{"good": []}|211.1696883|{"good": []}|14.026625|{"good": []}
2026-07-01T17:08:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.165|{"good": []}|||17.23594506|{"good": []}|||||2000.0|{"good": []}|3100.0|{"good": []}|3900.0|{"good": []}|1.0|{"good": []}|2.0|{"good": []}|7.0|{"good": []}|8.0|{"good": []}|||420.7011556|{"good": []}|||234.5118406|{"good": []}|||0.0|{"good": []}|24.95447872|{"good": []}|21.39858008|{"good": []}|52864.5|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|73.615|{"good": []}|||15.61536542|{"good": []}|19.73814537|{"good": []}|15.89986824|{"good": []}|205.6519761|{"good": []}|13.56333333|{"good": []}
2026-07-01T17:09:00Z|Aberporth Automatic Weather Station|-4.57|52.14|0.0|{"good": []}|1008.15|{"good": []}|||17.24340008|{"good": []}|||||2000.0|{"good": []}|3100.0|{"good": []}||{"good": []}|2.0|{"good": []}|8.0|{"good": []}||{"good": []}|8.0|{"good": []}|||418.7025911|{"good": []}|||223.0854191|{"good": []}|||0.0|{"good": []}|24.82322954|{"good": []}|21.08041904|{"good": []}|48987.5|{"good": []}|0.0|{"good": []}|NSW|{"good": []}|73.7275|{"good": []}|||15.61511556|{"good": []}|19.73905344|{"good": []}|15.90062383|{"good": []}|205.7840111|{"good": []}|12.68158333|{"good": []}
